OffloadRatio_r,TargetCommRatio_x,Compute1_Resident_ms,Compute2_Offloaded_ms,Transfer1_Main_ms,Transfer2_Prefetch_ms,Observed_Transfer_BW_GBs,Observed_GPU_Throughput_GBs,Avg_Per_Layer_Time_ms,Avg_Forward_Pass_Time_ms
0.000,0.000,0.4136,0,0,0,0,1460.4719,0.4136,4.1355
0.005,200.0000000000,0.4017,0.0159,0.1904,0.0086,15.8708,1430.0202,0.4216,4.2236
0.010,100.0000000000,0.3982,0.0183,0.1698,0.1122,23.3970,1429.4398,0.4218,4.2253
0.015,66.6666666666,0.3961,0.0225,0.1834,0.1304,31.8225,1420.8780,0.4242,4.2508
0.020,50.0000000000,0.4017,0.0471,0.2144,0.0106,57.1905,1327.8172,0.4542,4.5487
0.025,40.0000000000,0.3905,0.0345,0.2281,0.1671,41.9661,1400.2110,0.4305,4.3135
0.030,33.3333333333,0.3968,0.0335,0.4140,0.0124,45.1618,1383.9714,0.4356,4.3641
0.035,28.5714285714,0.3853,0.0336,0.4008,0.0144,51.0317,1421.9906,0.4240,4.2474
0.040,25.0000000000,0.3842,0.0342,0.4012,0.0144,58.9992,1422.4304,0.4238,4.2461
0.045,22.2222222222,0.3908,0.0354,0.4084,0.0149,65.9114,1397.5122,0.4315,4.3218
0.050,20.0000000000,0.3909,0.0366,0.4094,0.0156,73.2295,1392.3687,0.4330,4.3378
0.055,18.1818181818,0.3849,0.0369,0.4034,0.0156,82.4581,1411.3992,0.4272,4.2793
0.060,16.6666666666,0.3752,0.0377,0.3934,0.0168,92.7017,1439.7155,0.4187,4.1951
0.065,15.3846153846,0.3716,0.0450,0.3960,0.0177,99.9647,1428.4832,0.4221,4.2281
0.070,14.2857142857,0.3753,0.0488,0.4021,0.0189,106.4830,1402.3337,0.4299,4.3070
0.075,13.3333333333,0.3685,0.0488,0.3940,0.0203,116.7414,1425.6695,0.4229,4.2365
0.080,12.5000000000,0.3598,0.0528,0.3882,0.0215,126.4043,1441.0246,0.4183,4.1913
0.085,11.7647058823,0.2809,0.0512,0.1672,0.0199,297.3906,1782.8491,0.3380,3.3877
0.090,11.1111111111,0.2706,0.0564,0.1554,0.0212,335.9508,1810.0560,0.3329,3.3368
0.095,10.5263157894,0.2707,0.0565,0.1584,0.0219,340.2458,1810.8301,0.3328,3.3354
0.100,10.0000000000,0.2720,0.0460,0.1707,0.0243,333.5512,1860.1026,0.3239,3.2470
0.105,9.5238095238,0.2722,0.0574,0.1760,0.0249,341.3081,1797.3726,0.3353,3.3603
0.110,9.0909090909,0.2735,0.0469,0.1880,0.0277,335.1809,1846.3869,0.3263,3.2711
0.115,8.6956521739,0.2737,0.0495,0.1941,0.0281,341.9091,1832.2471,0.3289,3.2964
0.120,8.3333333333,0.2733,0.0503,0.2049,0.0305,337.9983,1828.7832,0.3295,3.3026
0.125,8.0000000000,0.2738,0.0509,0.2136,0.0318,339.6693,1824.3814,0.3303,3.3106
