OffloadRatio,Data_Transfer_ms,Compute_Resident_ms,Compute_Offloaded_ms,Comm_Bandwidth_GBs,GPU_Throughput_GBs,Total_Kernel_Time_ms,Total_Compute_Time_ms
0.005,0.383,0.403,0.017,4.109,1438.282,0.425,0.420
0.010,0.389,0.409,0.016,12.139,1419.082,0.430,0.426
0.015,0.379,0.399,0.021,20.771,1439.472,0.424,0.420
0.020,0.377,0.397,0.036,29.235,1395.059,0.438,0.433
0.025,0.379,0.399,0.045,37.335,1357.897,0.450,0.445
0.030,0.381,0.401,0.030,45.413,1400.503,0.436,0.431
0.035,0.368,0.389,0.031,55.532,1441.379,0.424,0.419
0.040,0.363,0.383,0.031,64.966,1459.173,0.419,0.414
0.045,0.367,0.387,0.033,72.834,1437.903,0.425,0.420
0.050,0.357,0.377,0.034,83.803,1471.201,0.415,0.411
0.055,0.358,0.378,0.034,92.386,1467.598,0.416,0.412
0.060,0.358,0.379,0.035,100.934,1461.078,0.418,0.413
0.065,0.348,0.368,0.035,108.334,1497.886,0.408,0.403
0.070,0.344,0.364,0.042,118.749,1486.267,0.411,0.406
0.075,0.345,0.365,0.045,127.723,1474.625,0.414,0.410
0.080,0.340,0.360,0.045,138.669,1491.681,0.410,0.405
0.085,0.162,0.273,0.049,309.793,1877.212,0.327,0.322
0.090,0.167,0.273,0.049,319.902,1876.301,0.327,0.322
0.095,0.175,0.274,0.054,323.281,1839.638,0.333,0.328
0.100,0.190,0.274,0.042,315.161,1912.977,0.321,0.316
0.105,0.200,0.274,0.055,315.012,1840.406,0.333,0.328
0.110,0.202,0.275,0.044,327.027,1889.963,0.325,0.320
0.115,0.216,0.276,0.046,320.414,1877.255,0.327,0.322
0.120,0.225,0.276,0.047,320.969,1871.056,0.328,0.323
0.125,0.223,0.276,0.048,337.842,1863.358,0.329,0.324
0.130,0.236,0.277,0.049,327.118,1856.642,0.330,0.325
0.135,0.236,0.277,0.051,339.242,1845.939,0.332,0.327
0.140,0.258,0.277,0.052,322.804,1838.236,0.333,0.329
0.145,0.258,0.277,0.054,334.859,1826.751,0.335,0.331
0.150,0.275,0.276,0.054,325.594,1825.882,0.336,0.331
0.155,0.284,0.275,0.056,326.820,1825.329,0.345,0.331
0.160,0.295,0.274,0.056,325.697,1829.351,0.355,0.330
0.165,0.304,0.275,0.059,325.545,1811.061,0.368,0.333
0.170,0.303,0.274,0.059,337.042,1813.992,0.367,0.333
0.175,0.306,0.275,0.061,344.424,1797.889,0.372,0.336
0.180,0.304,0.275,0.062,357.584,1795.669,0.369,0.336
0.185,0.336,0.273,0.065,331.960,1789.414,0.405,0.338
0.190,0.340,0.273,0.065,333.034,1785.388,0.409,0.338
0.195,0.352,0.271,0.065,330.905,1797.055,0.421,0.336
0.200,0.358,0.273,0.069,333.532,1765.684,0.431,0.342
0.205,0.350,0.271,0.069,350.164,1777.746,0.423,0.340
0.210,0.379,0.272,0.069,331.919,1769.024,0.452,0.341
0.215,0.382,0.271,0.073,337.763,1753.669,0.459,0.344
0.220,0.378,0.272,0.074,349.167,1749.058,0.456,0.345
0.225,0.387,0.271,0.074,349.214,1753.421,0.465,0.344
0.230,0.415,0.271,0.075,333.284,1746.052,0.494,0.346
0.235,0.419,0.270,0.078,337.949,1738.507,0.501,0.347
0.240,0.427,0.271,0.079,338.601,1725.327,0.510,0.350
0.245,0.431,0.269,0.079,342.831,1734.534,0.515,0.348
0.250,0.449,0.270,0.079,335.933,1729.246,0.533,0.349
0.255,0.454,0.267,0.085,336.238,1714.124,0.543,0.352
0.260,0.464,0.266,0.085,335.444,1717.436,0.554,0.352
0.265,0.472,0.268,0.085,336.511,1711.093,0.561,0.353
0.270,0.484,0.263,0.086,334.579,1730.152,0.574,0.349
0.275,0.492,0.269,0.092,335.845,1670.498,0.588,0.362
0.280,0.494,0.263,0.093,340.943,1696.076,0.591,0.356
0.285,0.493,0.251,0.093,347.581,1757.490,0.590,0.344
0.290,0.519,0.248,0.093,336.502,1773.245,0.616,0.341
0.295,0.513,0.246,0.093,346.425,1777.222,0.611,0.340
0.300,0.530,0.244,0.094,341.595,1789.158,0.627,0.338
0.305,0.675,0.716,0.103,272.637,736.884,0.824,0.820
0.310,0.675,0.716,0.104,277.177,736.515,0.824,0.820
0.315,0.528,0.251,0.104,357.314,1702.546,0.636,0.355
0.320,0.558,0.242,0.104,344.018,1743.486,0.666,0.346
0.325,0.555,0.247,0.105,351.602,1718.337,0.663,0.351
0.330,0.554,0.248,0.105,357.823,1710.384,0.663,0.353
0.335,0.594,0.242,0.105,339.192,1740.997,0.703,0.347
0.340,0.567,0.248,0.106,360.345,1709.765,0.677,0.353
0.345,0.617,0.240,0.107,336.452,1739.941,0.728,0.347
0.350,0.615,0.239,0.115,342.846,1705.356,0.734,0.354
0.355,0.632,0.238,0.117,338.261,1701.083,0.753,0.355
0.360,0.630,0.245,0.116,344.683,1671.649,0.750,0.361
0.365,0.648,0.246,0.117,339.795,1661.548,0.769,0.364
0.370,0.627,0.247,0.117,356.224,1658.796,0.748,0.364
0.375,0.668,0.236,0.118,339.031,1706.602,0.790,0.354
0.380,0.652,0.236,0.118,349.754,1706.723,0.774,0.354
0.385,0.629,0.236,0.119,367.299,1705.157,0.752,0.354
0.390,0.676,0.243,0.119,346.783,1669.636,0.799,0.362
0.395,0.695,0.244,0.135,341.693,1592.083,0.834,0.379
0.400,0.702,0.234,0.136,342.997,1632.601,0.842,0.370
