OffloadRatio,Data_Transfer_ms,Compute_Resident_ms,Compute_Offloaded_ms,Comm_Bandwidth_GBs,GPU_Throughput_GBs,Total_Kernel_Time_ms,Total_Compute_Time_ms
0.000,0,31.715,0,0,1549.822,31.715,31.715
0.005,0.655,31.702,0.178,375.079,1541.789,31.894,31.880
0.010,1.327,31.700,0.833,370.485,1510.818,32.547,32.533
0.015,1.949,31.660,1.278,378.204,1492.281,32.952,32.937
0.020,2.596,31.214,0.886,378.683,1531.200,32.113,32.100
0.025,3.249,30.748,0.641,378.170,1565.917,31.403,31.389
0.030,3.890,30.733,0.721,379.072,1562.617,31.469,31.455
0.035,4.542,30.708,0.980,378.765,1551.085,31.702,31.689
0.040,5.177,30.681,0.979,379.749,1552.487,31.673,31.660
0.045,5.833,30.645,1.070,379.183,1549.805,31.729,31.715
0.050,6.474,30.418,1.074,379.586,1560.787,31.506,31.492
0.055,7.113,29.747,1.382,380.054,1578.969,31.142,31.129
0.060,7.783,29.720,1.444,378.929,1577.218,31.178,31.164
0.065,8.398,29.687,4.102,380.442,1454.691,33.803,33.789
0.070,9.051,29.675,3.166,380.154,1496.675,32.855,32.841
0.075,9.712,29.640,3.170,379.564,1498.075,32.824,32.810
0.080,10.353,29.593,3.174,379.825,1500.025,32.783,32.767
0.085,10.979,29.258,3.179,380.535,1515.322,32.451,32.437
0.090,11.631,28.706,3.182,380.328,1541.400,31.903,31.888
0.095,12.295,28.666,3.190,379.792,1542.945,31.871,31.856
0.100,12.925,28.645,3.200,380.276,1543.458,31.859,31.845
0.105,13.569,28.616,4.219,380.352,1496.938,32.850,32.835
0.110,14.216,28.601,4.224,380.318,1497.382,32.840,32.825
0.115,14.872,28.406,4.230,380.066,1506.062,32.649,32.636
0.120,15.509,28.187,8.217,380.317,1350.171,36.420,36.404
0.125,16.152,27.648,8.229,380.381,1370.012,35.892,35.877
0.130,16.799,27.622,8.240,380.352,1370.610,35.876,35.861
0.135,17.442,27.593,8.254,380.432,1371.158,35.863,35.847
0.140,18.089,27.579,5.273,380.406,1496.158,32.868,32.852
0.145,18.735,27.556,5.280,380.404,1496.894,32.851,32.836
0.150,19.379,27.225,5.284,380.453,1511.919,32.525,32.510
0.155,20.031,27.134,10.262,380.347,1314.380,37.411,37.396
0.160,20.701,26.586,10.271,379.898,1333.594,36.872,36.857
0.165,21.321,26.558,10.300,380.388,1333.536,36.873,36.858
0.170,21.961,26.542,6.322,380.477,1495.589,32.880,32.865
0.175,22.608,26.527,6.327,380.472,1496.080,32.869,32.854
0.180,23.296,26.510,6.332,379.782,1496.607,32.858,32.842
0.185,23.906,26.131,6.338,380.369,1513.837,32.484,32.468
0.190,24.543,25.564,6.348,380.510,1540.257,31.927,31.912
0.195,25.192,25.539,6.356,380.459,1541.067,31.910,31.895
0.200,25.828,25.521,6.366,380.613,1541.423,32.205,31.887
0.205,26.474,25.498,7.377,380.605,1495.130,33.861,32.875
0.210,27.121,25.484,7.382,380.584,1495.489,34.513,32.867
0.215,27.773,25.231,7.390,380.500,1506.793,35.172,32.620
0.220,28.416,25.083,14.349,380.539,1246.480,42.776,39.433
0.225,29.053,24.496,14.378,380.653,1264.388,43.443,38.874
0.230,29.711,24.474,7.417,380.493,1541.243,37.138,31.891
0.235,30.366,24.451,7.427,380.378,1541.885,37.804,31.878
0.240,31.021,24.433,16.300,380.276,1206.688,47.334,40.733
0.245,31.658,24.418,8.443,380.390,1495.775,40.111,32.861
0.250,32.284,24.103,8.450,380.620,1509.914,40.744,32.553
