OffloadRatio,Data_Transfer_ms,Compute_Resident_ms,Compute_Offloaded_ms,Comm_Bandwidth_GBs,GPU_Throughput_GBs,Total_Kernel_Time_ms,Total_Compute_Time_ms
0.000,0,1.350,0,0,3640.446,1.350,1.350
0.005,1.307,1.332,0.012,18.046,3656.400,1.349,1.344
0.010,1.331,1.356,0.018,36.640,3577.666,1.378,1.374
0.015,1.312,1.337,0.023,55.157,3612.889,1.365,1.360
0.020,1.334,1.363,0.031,73.093,3526.306,1.399,1.394
0.025,1.318,1.347,0.037,93.105,3551.468,1.389,1.384
0.030,1.338,1.367,0.043,109.363,3486.723,1.414,1.410
0.035,1.322,1.351,0.052,129.683,3503.920,1.407,1.403
0.040,1.343,1.372,0.057,146.438,3441.055,1.433,1.428
0.045,1.326,1.356,0.062,166.004,3467.186,1.422,1.418
0.050,1.347,1.376,0.071,182.112,3395.413,1.452,1.448
0.055,1.331,1.359,0.075,202.040,3426.512,1.439,1.434
0.060,1.352,1.380,0.081,217.474,3362.817,1.466,1.462
0.065,1.336,1.364,0.090,238.993,3381.353,1.458,1.454
0.070,1.358,1.385,0.094,252.540,3322.991,1.484,1.479
0.075,1.341,1.365,0.100,274.543,3355.028,1.470,1.465
0.080,1.363,1.387,0.110,288.569,3284.324,1.501,1.497
0.085,1.346,1.369,0.123,309.728,3295.204,1.496,1.492
0.090,1.476,1.377,0.126,299.397,3270.572,1.607,1.503
0.095,1.458,1.357,0.125,319.344,3315.815,1.588,1.482
0.100,1.599,1.366,0.135,306.933,3274.804,1.738,1.501
0.105,1.596,1.345,0.142,323.251,3305.309,1.742,1.487
0.110,1.737,1.350,0.144,310.638,3288.204,1.885,1.495
0.115,1.749,1.329,0.156,322.782,3310.126,1.909,1.485
0.120,1.891,1.335,0.161,311.928,3284.341,2.057,1.497
0.125,1.856,1.315,0.167,330.536,3316.825,2.027,1.482
0.130,2.012,1.320,0.179,317.338,3277.757,2.196,1.500
0.135,1.972,1.300,0.183,335.828,3314.496,2.159,1.483
0.140,2.137,1.306,0.188,321.656,3291.321,2.329,1.493
0.145,2.145,1.285,0.193,332.145,3324.684,2.343,1.478
0.150,2.260,1.290,0.206,325.731,3285.653,2.470,1.496
0.155,2.283,1.269,0.209,333.477,3326.074,2.496,1.478
0.160,2.442,1.272,0.214,322.045,3308.194,2.660,1.486
0.165,2.401,1.250,0.219,337.427,3343.894,2.625,1.470
0.170,2.575,1.256,0.230,324.290,3305.989,2.810,1.487
0.175,2.509,1.235,0.235,342.215,3343.585,2.749,1.470
0.180,2.627,1.242,0.239,336.481,3319.652,2.870,1.481
0.185,2.691,1.224,0.245,337.795,3346.161,2.941,1.469
0.190,2.787,1.230,0.251,334.720,3319.288,3.041,1.481
0.195,2.800,1.208,0.266,342.127,3334.111,3.070,1.474
0.200,2.986,1.215,0.276,329.193,3295.360,3.267,1.492
0.205,2.896,1.194,0.279,347.617,3336.202,3.180,1.473
0.210,3.009,1.200,0.289,342.943,3299.976,3.302,1.489
0.215,3.059,1.180,0.292,344.962,3339.566,3.356,1.472
0.220,3.197,1.186,0.303,338.017,3302.592,3.504,1.488
0.225,3.202,1.165,0.306,345.341,3343.000,3.512,1.470
0.230,3.365,1.171,0.317,335.573,3304.669,3.687,1.487
0.235,3.355,1.149,0.319,344.074,3347.281,3.679,1.468
0.240,3.434,1.151,0.330,343.548,3318.029,3.768,1.481
0.245,3.444,1.130,0.332,349.360,3360.189,3.781,1.463
0.250,3.577,1.137,0.343,343.415,3320.743,3.925,1.480
0.255,3.627,1.117,0.346,345.177,3361.185,3.977,1.462
0.260,3.682,1.122,0.358,346.868,3320.659,4.045,1.480
0.265,3.755,1.105,0.359,346.839,3358.575,4.118,1.463
0.270,3.881,1.110,0.371,341.631,3317.104,4.257,1.482
0.275,3.880,1.089,0.372,348.246,3364.106,4.256,1.461
0.280,3.996,1.094,0.385,344.445,3323.894,4.385,1.479
0.285,4.052,1.075,0.385,345.433,3367.479,4.442,1.460
0.290,4.192,1.080,0.397,339.937,3327.631,4.594,1.477
0.295,4.188,1.059,0.398,345.890,3373.713,4.590,1.457
0.300,4.326,1.065,0.410,340.652,3332.091,4.741,1.475
0.305,4.296,1.044,0.411,348.945,3377.480,4.711,1.455
0.310,4.373,1.049,0.424,348.170,3336.260,4.801,1.473
0.315,4.434,1.030,0.424,349.069,3379.852,4.863,1.454
0.320,4.579,1.034,0.438,343.461,3339.474,5.022,1.472
0.325,4.589,1.012,0.438,347.854,3390.130,5.032,1.450
0.330,4.687,1.015,0.450,345.967,3354.532,5.142,1.465
0.335,4.754,0.998,0.450,346.068,3394.958,5.208,1.448
0.340,4.830,1.001,0.465,345.841,3354.707,5.299,1.465
0.345,4.909,0.986,0.465,345.409,3387.979,5.378,1.451
0.350,4.986,0.988,0.478,344.824,3351.832,5.468,1.466
0.355,5.050,0.972,0.478,345.427,3389.599,5.533,1.450
0.360,5.170,0.973,0.492,342.239,3354.124,5.667,1.465
0.365,5.186,0.957,0.491,345.732,3394.647,5.682,1.448
0.370,5.311,0.959,0.505,342.354,3357.592,5.821,1.464
0.375,5.325,0.942,0.504,345.861,3397.346,5.834,1.447
0.380,5.443,0.944,0.518,343.031,3361.434,5.965,1.462
0.385,5.447,0.926,0.518,347.401,3403.482,5.969,1.444
0.390,5.576,0.929,0.532,343.596,3364.751,6.112,1.461
0.395,5.613,0.912,0.531,345.773,3407.736,6.149,1.442
0.400,5.707,0.914,0.545,344.512,3368.765,6.256,1.459
