OffloadRatio_r,TargetCommRatio_x,Compute1_Resident_ms,Compute2_Offloaded_ms,Transfer1_Main_ms,Transfer2_Prefetch_ms,Observed_Transfer_BW_GBs,Observed_GPU_Throughput_GBs,Avg_Per_Layer_Time_ms,Avg_Forward_Pass_Time_ms
0.000,0.000,0.5152,0,0,0,0,1172.2390,0.5152,5.1524
0.005,200.0000000000,0.5099,0.0162,0.5192,0.0025,6.0323,1135.2580,0.5310,5.3202
0.010,100.0000000000,0.5045,0.0188,0.5094,0.0132,12.1555,1138.9504,0.5293,5.3030
0.015,66.6666666666,0.5010,0.0230,0.5084,0.0147,18.3452,1137.1798,0.5301,5.3112
0.020,50.0000000000,0.4957,0.0477,0.5235,0.0165,23.7848,1097.1536,0.5495,5.5050
0.025,40.0000000000,0.4898,0.0342,0.5044,0.0182,30.4949,1136.8783,0.5303,5.3126
0.030,33.3333333333,0.4865,0.0336,0.4966,0.0223,37.1638,1145.0140,0.5265,5.2749
0.035,28.5714285714,0.4825,0.0342,0.4898,0.0259,41.1358,1152.5420,0.5230,5.2404
0.040,25.0000000000,0.4822,0.0352,0.4871,0.0297,47.5495,1150.7793,0.5237,5.2484
0.045,22.2222222222,0.4770,0.0368,0.4912,0.0291,53.7333,1151.1279,0.5237,5.2469
0.050,20.0000000000,0.4721,0.0375,0.5441,0.0326,54.0786,1041.0226,0.5792,5.8018
0.055,18.1818181818,0.4702,0.0379,0.6009,0.0378,54.2158,940.8430,0.6409,6.4196
0.060,16.6666666666,0.4651,0.0383,0.6597,0.0450,54.0920,854.2017,0.7061,7.0707
0.065,15.3846153846,0.4657,0.0451,0.7117,0.0505,54.3773,789.5939,0.7639,7.6492
0.070,14.2857142857,0.4600,0.0484,0.7682,0.0572,54.4466,729.5532,0.8269,8.2788
0.075,13.3333333333,0.4579,0.0484,0.8250,0.0638,54.5403,678.2525,0.8895,8.9049
0.080,12.5000000000,0.4542,0.0517,0.8794,0.0719,54.5673,634.1714,0.9514,9.5239
0.085,11.7647058823,0.3067,0.0524,0.9358,0.0797,54.6464,594.4472,1.0150,10.1604
0.090,11.1111111111,0.2898,0.0571,0.9930,0.0877,54.6692,559.0184,1.0794,10.8043
0.095,10.5263157894,0.2895,0.0573,1.0211,0.0965,54.7116,540.9770,1.1155,11.1646
0.100,10.0000000000,0.2893,0.0476,1.0781,0.1064,54.7357,511.2990,1.1803,11.8127
0.105,9.5238095238,0.2887,0.0590,1.1334,0.1167,54.6876,484.3341,1.2460,12.4703
0.110,9.0909090909,0.2881,0.0488,1.1890,0.1259,54.7918,461.0423,1.3090,13.1003
0.115,8.6956521739,0.2877,0.0518,1.2458,0.1372,54.7991,438.5695,1.3762,13.7716
0.120,8.3333333333,0.2869,0.0524,1.2997,0.1471,54.8523,419.3870,1.4391,14.4015
0.125,8.0000000000,0.2858,0.0532,1.3568,0.1592,54.8473,400.4629,1.5072,15.0820
0.130,7.6923076923,0.2855,0.0543,1.4107,0.1705,54.8797,384.1243,1.5713,15.7235
0.135,7.4074074074,0.2851,0.0564,1.4677,0.1820,54.8917,368.2710,1.6390,16.4004
0.140,7.1428571428,0.2840,0.0574,1.5213,0.1943,54.9276,354.2951,1.7037,17.0474
