OffloadRatio_r,TargetCommRatio_x,Compute1_Resident_ms,Compute2_Offloaded_ms,Transfer1_Main_ms,Transfer2_Prefetch_ms,Observed_Transfer_BW_GBs,Observed_GPU_Throughput_GBs,Avg_Per_Layer_Time_ms,Avg_Forward_Pass_Time_ms
0.005,200.0000000000,0.5082,0.0166,0.2603,0.0181,11.3749,1137.3075,0.5300,5.3106
0.010,100.0000000000,0.5057,0.0189,0.5110,0.0122,12.1375,1136.1099,0.5306,5.3162
0.015,66.6666666666,0.4964,0.0231,0.5054,0.0128,18.5146,1147.1180,0.5255,5.2652
0.020,50.0000000000,0.5018,0.0478,0.5310,0.0138,23.5615,1085.1206,0.5556,5.5660
0.025,40.0000000000,0.4874,0.0349,0.5057,0.0143,30.6207,1141.1515,0.5283,5.2927
0.030,33.3333333333,0.4951,0.0340,0.5108,0.0157,36.5827,1126.5486,0.5351,5.3613
0.035,28.5714285714,0.4940,0.0344,0.5089,0.0170,40.2712,1127.7761,0.5345,5.3555
0.040,25.0000000000,0.4756,0.0352,0.4911,0.0183,48.1364,1165.7846,0.5171,5.1809
0.045,22.2222222222,0.4892,0.0368,0.5030,0.0206,53.3087,1132.3552,0.5324,5.3338
0.050,20.0000000000,0.4862,0.0378,0.4991,0.0225,59.7122,1136.6220,0.5304,5.3138
0.055,18.1818181818,0.4621,0.0385,0.4747,0.0249,69.2462,1188.9108,0.5070,5.0801
0.060,16.6666666666,0.4792,0.0396,0.4886,0.0280,73.7231,1148.1662,0.5250,5.2604
0.065,15.3846153846,0.4572,0.0462,0.4718,0.0302,82.5206,1182.4572,0.5098,5.1078
0.070,14.2857142857,0.4690,0.0498,0.4840,0.0326,86.9431,1147.9125,0.5251,5.2615
0.075,13.3333333333,0.4520,0.0500,0.4650,0.0357,96.8085,1185.9565,0.5083,5.0928
0.080,12.5000000000,0.4656,0.0534,0.4784,0.0387,100.3834,1147.6664,0.5252,5.2627
0.085,11.7647058823,0.3151,0.0537,0.4011,0.0373,126.6671,1362.0078,0.4424,4.4345
0.090,11.1111111111,0.2971,0.0586,0.4163,0.0401,129.5410,1309.8331,0.4601,4.6111
0.095,10.5263157894,0.2970,0.0592,0.4283,0.0440,129.5516,1267.1589,0.4756,4.7664
0.100,10.0000000000,0.2971,0.0487,0.4517,0.0478,129.8692,1202.1687,0.5014,5.0241
0.105,9.5238095238,0.2961,0.0612,0.4739,0.0520,130.0650,1140.9180,0.5284,5.2938
0.110,9.0909090909,0.2947,0.0496,0.4995,0.0564,129.6757,1082.1508,0.5571,5.5813
0.115,8.6956521739,0.2940,0.0527,0.5229,0.0605,129.9655,1031.9173,0.5843,5.8530
0.120,8.3333333333,0.2940,0.0531,0.5436,0.0646,130.5524,990.5148,0.6087,6.0976
0.125,8.0000000000,0.2934,0.0542,0.5667,0.0690,130.8469,948.2324,0.6359,6.3695
0.130,7.6923076923,0.2929,0.0550,0.5891,0.0740,130.9148,909.6492,0.6629,6.6397
0.135,7.4074074074,0.2926,0.0573,0.6129,0.0790,130.9291,872.1070,0.6915,6.9255
0.140,7.1428571428,0.2921,0.0581,0.6353,0.0844,130.9953,839.0672,0.7188,7.1982
0.145,6.8965517241,0.2912,0.0606,0.6588,0.0895,131.1574,807.2279,0.7472,7.4821
0.150,6.6666666666,0.2905,0.0616,0.6813,0.0946,131.2286,778.9636,0.7743,7.7536
0.155,6.4516129032,0.2899,0.0627,0.7049,0.1009,131.2452,750.5249,0.8037,8.0474
0.160,6.2500000000,0.2896,0.0630,0.7168,0.1061,131.3291,735.3791,0.8203,8.2132
0.165,6.0606060606,0.2894,0.0656,0.7395,0.1124,131.2940,710.5738,0.8490,8.4999
0.170,5.8823529411,0.2888,0.0666,0.7627,0.1185,131.4476,687.3686,0.8777,8.7868
0.175,5.7142857142,0.2875,0.0685,0.7849,0.1243,131.5420,666.3851,0.9053,9.0635
0.180,5.5555555555,0.2901,0.0690,0.8085,0.1305,131.6093,645.5811,0.9345,9.3556
0.185,5.4054054054,0.2855,0.0727,0.8311,0.1371,131.6432,626.2931,0.9634,9.6437
0.190,5.2631578947,0.2885,0.0735,0.8534,0.1437,131.7060,608.3809,0.9917,9.9277
0.195,5.1282051282,0.2838,0.0761,0.8771,0.1505,131.7254,590.5157,1.0218,10.2280
0.200,5.0000000000,0.2845,0.0761,0.8992,0.1573,131.8268,574.6350,1.0500,10.5107
0.205,4.8780487804,0.2817,0.0769,0.9222,0.1646,131.7597,558.8688,1.0797,10.8072
0.210,4.7619047619,0.2845,0.0812,0.9454,0.1715,131.8571,543.8446,1.1096,11.1057
0.215,4.6511627906,0.2823,0.0823,0.9679,0.1790,131.8766,529.8564,1.1389,11.3989
0.220,4.5454545454,0.2834,0.0826,0.9798,0.1859,131.8995,521.5431,1.1570,11.5806
0.225,4.4444444444,0.2785,0.0835,1.0035,0.1939,131.9058,507.9962,1.1879,11.8895
0.230,4.3478260869,0.2822,0.0847,1.0258,0.2014,131.9388,495.8097,1.2172,12.1817
0.235,4.2553191489,0.2806,0.0863,1.0484,0.2089,131.9664,484.0656,1.2467,12.4772
0.240,4.1666666666,0.2810,0.0875,1.0707,0.2169,132.0216,472.8271,1.2764,12.7738
0.245,4.0816326530,0.2774,0.0884,1.0942,0.2245,132.0723,461.8307,1.3068,13.0779
0.250,4.0000000000,0.2791,0.0889,1.1166,0.2327,132.0946,451.5494,1.3366,13.3757
