OffloadRatio,Data_Transfer_ms,Compute_Resident_ms,Compute_Offloaded_ms,Comm_Bandwidth_GBs,GPU_Throughput_GBs,Total_Kernel_Time_ms,Total_Compute_Time_ms
0.000,0,0.519,0,0,1163.463,0.519,0.519
0.005,0.490,0.513,0.017,3.213,1137.766,0.537,0.531
0.010,0.484,0.508,0.017,9.747,1151.333,0.530,0.525
0.015,0.480,0.504,0.021,16.374,1149.670,0.531,0.525
0.020,0.472,0.495,0.037,23.318,1135.376,0.538,0.532
0.025,0.477,0.501,0.046,29.654,1103.001,0.553,0.548
0.030,0.459,0.482,0.031,37.658,1176.075,0.519,0.514
0.035,0.463,0.487,0.032,44.145,1163.061,0.525,0.519
0.040,0.450,0.473,0.032,52.415,1196.515,0.510,0.505
0.045,0.500,0.499,0.034,53.466,1133.185,0.542,0.533
0.050,0.556,0.483,0.035,53.762,1166.667,0.596,0.518
0.055,0.613,0.458,0.036,53.905,1224.338,0.653,0.493
0.060,0.669,0.472,0.036,54.077,1187.727,0.711,0.509
0.065,0.698,0.451,0.037,54.074,1237.581,0.740,0.488
0.070,0.755,0.477,0.043,54.147,1160.556,0.804,0.520
0.075,0.812,0.443,0.046,54.257,1235.301,0.863,0.489
0.080,0.868,0.458,0.045,54.377,1198.461,0.918,0.504
0.085,0.925,0.290,0.049,54.417,1782.318,0.979,0.339
0.090,0.981,0.289,0.050,54.500,1781.791,1.036,0.339
0.095,1.038,0.288,0.055,54.568,1758.322,1.098,0.343
0.100,1.096,0.287,0.044,54.512,1821.014,1.146,0.332
0.105,1.152,0.286,0.056,54.620,1767.312,1.213,0.342
0.110,1.209,0.286,0.047,54.660,1816.966,1.261,0.332
0.115,1.267,0.286,0.049,54.642,1807.770,1.320,0.334
0.120,1.322,0.284,0.050,54.719,1808.212,1.378,0.334
0.125,1.379,0.284,0.052,54.760,1800.551,1.436,0.335
0.130,1.408,0.283,0.051,54.748,1803.681,1.464,0.335
0.135,1.465,0.282,0.054,54.756,1795.400,1.524,0.336
0.140,1.521,0.282,0.054,54.812,1795.082,1.581,0.336
0.145,1.578,0.281,0.057,54.836,1788.474,1.640,0.338
0.150,1.634,0.281,0.058,54.861,1781.571,1.697,0.339
0.155,1.691,0.280,0.059,54.863,1785.131,1.756,0.338
0.160,1.748,0.279,0.060,54.894,1783.590,1.813,0.339
0.165,1.805,0.278,0.062,54.888,1778.087,1.872,0.340
0.170,1.862,0.278,0.063,54.898,1772.616,1.930,0.341
0.175,1.919,0.277,0.065,54.908,1765.555,1.989,0.342
0.180,1.976,0.277,0.065,54.919,1763.089,2.047,0.343
0.185,2.033,0.279,0.068,54.937,1736.801,2.106,0.348
0.190,2.061,0.279,0.069,54.953,1735.789,2.135,0.348
0.195,2.118,0.273,0.069,54.957,1763.080,2.193,0.343
0.200,2.175,0.275,0.073,54.971,1735.063,2.253,0.348
0.205,2.231,0.273,0.073,55.001,1742.971,2.309,0.347
0.210,2.288,0.274,0.074,54.986,1735.565,2.368,0.348
0.215,2.345,0.273,0.077,55.009,1723.968,2.427,0.350
0.220,2.401,0.273,0.079,55.019,1715.965,2.485,0.352
0.225,2.458,0.271,0.079,55.027,1724.784,2.542,0.350
0.230,2.516,0.273,0.080,55.023,1709.947,2.601,0.353
0.235,2.572,0.271,0.082,55.038,1709.352,2.660,0.353
0.240,2.629,0.272,0.084,55.035,1698.053,2.718,0.356
0.245,2.685,0.268,0.084,55.057,1713.770,2.775,0.352
0.250,2.743,0.270,0.084,55.051,1703.273,2.832,0.355
0.255,2.771,0.271,0.089,55.055,1676.608,2.866,0.360
0.260,2.828,0.266,0.090,55.065,1695.583,2.924,0.356
0.265,2.884,0.268,0.091,55.080,1684.592,2.980,0.359
0.270,2.942,0.264,0.091,55.066,1698.573,3.039,0.356
0.275,2.999,0.269,0.097,55.075,1648.998,3.101,0.366
0.280,3.055,0.264,0.098,55.090,1670.369,3.158,0.362
0.285,3.112,0.319,0.097,55.086,1450.593,3.215,0.416
0.290,3.169,0.310,0.098,55.101,1479.131,3.272,0.408
0.295,3.225,0.308,0.098,55.110,1487.296,3.329,0.406
0.300,3.282,0.304,0.099,55.109,1497.338,3.386,0.403
0.305,3.339,0.722,0.109,55.120,726.797,3.452,0.831
0.310,3.395,0.721,0.110,55.126,726.850,3.511,0.831
0.315,3.425,0.250,0.109,55.113,1680.639,3.539,0.359
0.320,3.481,0.249,0.109,55.132,1689.928,3.594,0.357
0.325,3.537,0.241,0.111,55.141,1715.881,3.653,0.352
0.330,3.594,0.246,0.110,55.139,1695.649,3.710,0.356
0.335,3.651,0.240,0.110,55.144,1721.706,3.767,0.351
0.340,3.708,0.244,0.111,55.142,1700.897,3.824,0.355
0.345,3.764,0.238,0.113,55.152,1721.255,3.883,0.351
0.350,3.821,0.237,0.120,55.154,1693.241,3.947,0.357
0.355,3.878,0.237,0.122,55.161,1679.081,4.005,0.360
0.360,3.935,0.244,0.121,55.159,1653.447,4.062,0.365
0.365,3.992,0.235,0.123,55.166,1685.955,4.120,0.358
0.370,4.049,0.244,0.124,55.166,1644.129,4.178,0.367
0.375,4.105,0.235,0.124,55.171,1681.657,4.235,0.359
0.380,4.134,0.243,0.124,55.169,1647.247,4.263,0.367
0.385,4.191,0.234,0.125,55.171,1685.239,4.321,0.358
0.390,4.247,0.242,0.125,55.178,1641.748,4.378,0.368
0.395,4.305,0.240,0.142,55.174,1580.624,4.452,0.382
0.400,4.361,0.233,0.143,55.178,1606.264,4.510,0.376
