OffloadRatio,Data_Transfer_ms,Compute_Resident_ms,Compute_Offloaded_ms,Comm_Bandwidth_GBs,GPU_Throughput_GBs,Total_Kernel_Time_ms,Total_Compute_Time_ms
0.000,0,31.804,0,0,1545.453,31.804,31.804
0.005,4.394,31.739,0.183,55.931,1539.785,31.936,31.921
0.010,8.783,31.730,0.855,55.961,1508.418,32.600,32.585
0.015,13.172,31.333,1.356,55.972,1503.617,32.704,32.689
0.020,17.566,31.263,1.017,55.964,1522.673,32.295,32.280
0.025,21.966,30.596,0.644,55.941,1573.357,31.255,31.240
0.030,26.355,30.558,0.725,55.949,1571.231,31.297,31.282
0.035,30.747,30.530,0.982,55.951,1559.795,31.742,31.512
0.040,35.137,30.506,0.985,55.955,1560.841,36.135,31.491
0.045,39.534,30.359,1.078,55.948,1563.510,40.626,31.437
0.050,43.929,30.096,1.088,55.945,1576.175,45.031,31.184
0.055,48.321,29.560,1.398,55.945,1587.703,49.733,30.958
0.060,52.719,29.521,1.456,55.940,1586.734,54.188,30.977
0.065,57.116,29.481,4.590,55.936,1442.618,61.720,34.071
0.070,61.516,29.458,3.147,55.931,1507.491,64.676,32.605
0.075,65.907,29.436,3.151,55.934,1508.341,69.071,32.587
0.080,70.299,29.284,3.178,55.934,1514.140,73.491,32.462
0.085,74.699,29.245,3.184,55.930,1515.664,77.897,32.429
0.090,79.111,28.709,3.189,55.918,1540.880,82.314,31.899
0.095,83.558,28.673,3.195,55.883,1542.347,86.767,31.868
0.100,87.982,28.634,3.204,55.866,1543.836,91.200,31.838
0.105,92.410,28.613,4.230,55.849,1496.612,96.653,32.842
0.110,96.839,28.584,4.234,55.832,1497.709,101.087,32.818
0.115,101.279,28.209,4.241,55.811,1514.721,105.534,32.450
0.120,105.710,28.193,8.221,55.797,1349.803,113.944,36.414
0.125,110.156,27.636,8.234,55.775,1370.297,118.404,35.870
0.130,114.569,27.601,8.254,55.772,1370.869,122.837,35.855
0.135,119.002,27.567,8.269,55.760,1371.580,127.285,35.836
0.140,123.429,27.549,5.286,55.751,1496.911,128.729,32.836
0.145,127.877,27.431,5.292,55.734,1502.078,133.183,32.723
0.150,132.294,27.146,5.299,55.730,1514.896,137.608,32.446
0.155,136.726,27.115,10.258,55.721,1315.175,146.999,37.373
0.160,141.156,26.570,10.278,55.714,1333.925,151.448,36.848
0.165,145.595,26.530,10.301,55.703,1334.522,155.910,36.831
0.170,150.027,26.504,6.206,55.696,1502.664,156.248,32.710
0.175,154.459,26.488,6.343,55.689,1497.094,160.817,32.832
0.180,158.897,26.208,6.351,55.680,1509.620,165.262,32.559
0.185,163.346,26.079,6.358,55.668,1515.275,169.718,32.438
0.190,167.783,25.527,6.366,55.661,1541.144,174.163,31.893
0.195,172.216,25.500,6.373,55.655,1542.134,178.604,31.873
0.200,176.674,25.462,6.382,55.641,1543.546,183.070,31.844
0.205,181.076,25.442,7.346,55.646,1499.050,188.436,32.789
0.210,185.657,25.426,7.400,55.597,1497.343,193.071,32.826
0.215,189.942,25.043,7.410,55.636,1514.523,197.367,32.454
0.220,194.391,25.018,14.346,55.627,1248.646,208.752,39.364
0.225,198.811,24.458,14.384,55.627,1265.439,213.209,38.842
0.230,203.291,24.434,7.434,55.610,1542.337,210.740,31.869
0.235,207.689,24.398,7.443,55.615,1543.666,215.147,31.841
0.240,212.150,24.382,16.303,55.604,1208.103,228.467,40.685
0.245,216.552,24.362,8.459,55.609,1497.549,225.026,32.822
0.250,220.990,23.984,8.468,55.604,1514.641,229.472,32.451
