OffloadRatio,Data_Transfer_ms,Compute_Resident_ms,Compute_Offloaded_ms,Comm_Bandwidth_GBs,GPU_Throughput_GBs,Total_Kernel_Time_ms,Total_Compute_Time_ms
0.000,0,1.574,0,0,3122.017,1.574,1.574
0.005,1.566,1.592,0.013,15.071,3061.017,1.611,1.606
0.010,1.586,1.613,0.020,30.749,3009.762,1.639,1.633
0.015,1.605,1.632,0.027,45.073,2961.883,1.665,1.659
0.020,1.767,1.647,0.036,55.192,2920.968,1.808,1.683
0.025,2.218,1.638,0.044,55.304,2922.403,2.267,1.682
0.030,2.637,1.630,0.050,55.474,2924.564,2.692,1.681
0.035,3.089,1.622,0.060,55.505,2922.175,3.154,1.682
0.040,3.535,1.613,0.067,55.616,2925.837,3.607,1.680
0.045,3.956,1.606,0.073,55.658,2927.579,4.035,1.679
0.050,4.406,1.597,0.083,55.685,2924.951,4.495,1.680
0.055,4.829,1.589,0.089,55.692,2929.764,4.924,1.678
0.060,5.279,1.580,0.096,55.721,2932.219,5.380,1.676
0.065,5.729,1.571,0.106,55.737,2930.019,5.840,1.678
0.070,6.150,1.563,0.112,55.757,2934.887,6.266,1.675
0.075,6.600,1.551,0.119,55.769,2942.604,6.724,1.670
0.080,7.049,1.543,0.129,55.781,2940.377,7.184,1.672
0.085,7.468,1.535,0.143,55.811,2928.945,7.617,1.678
0.090,7.920,1.526,0.148,55.804,2936.800,8.073,1.674
0.095,8.346,1.518,0.149,55.781,2948.032,8.501,1.667
0.100,8.790,1.513,0.160,55.829,2938.059,8.955,1.673
0.105,9.239,1.504,0.167,55.839,2940.623,9.412,1.671
0.110,9.661,1.496,0.172,55.845,2946.570,9.838,1.668
0.115,10.112,1.487,0.185,55.842,2939.382,10.302,1.672
0.120,10.561,1.479,0.192,55.849,2941.893,10.758,1.671
0.125,10.982,1.471,0.199,55.859,2944.274,11.185,1.669
0.130,11.431,1.462,0.211,55.866,2938.409,11.647,1.673
0.135,11.852,1.454,0.216,55.868,2943.321,12.073,1.670
0.140,12.301,1.446,0.222,55.877,2947.381,12.528,1.668
0.145,12.750,1.437,0.229,55.881,2949.748,12.985,1.666
0.150,13.172,1.429,0.241,55.885,2943.736,13.418,1.670
0.155,13.621,1.420,0.247,55.887,2948.001,13.874,1.667
0.160,14.070,1.409,0.255,55.893,2954.860,14.330,1.663
0.165,14.492,1.401,0.261,55.893,2957.706,14.759,1.662
0.170,14.941,1.392,0.273,55.900,2951.901,15.219,1.665
0.175,15.361,1.384,0.278,55.905,2957.580,15.644,1.662
0.180,15.811,1.376,0.284,55.906,2961.046,16.101,1.660
0.185,16.260,1.371,0.291,55.912,2957.936,16.556,1.662
0.190,16.681,1.363,0.298,55.915,2958.390,16.984,1.661
0.195,17.132,1.355,0.314,55.912,2944.601,17.451,1.669
0.200,17.586,1.346,0.322,55.900,2946.062,17.913,1.668
0.205,18.003,1.338,0.330,55.916,2946.828,18.338,1.668
0.210,18.453,1.330,0.338,55.916,2947.627,18.796,1.668
0.215,18.874,1.322,0.345,55.919,2948.571,19.224,1.667
0.220,19.323,1.313,0.353,55.921,2949.072,19.681,1.667
0.225,19.772,1.305,0.361,55.923,2950.751,20.139,1.666
0.230,20.194,1.297,0.369,55.923,2951.630,20.568,1.665
0.235,20.643,1.287,0.377,55.925,2954.134,21.025,1.664
0.240,21.092,1.276,0.384,55.927,2960.626,21.482,1.660
0.245,21.516,1.268,0.392,55.924,2960.416,21.913,1.660
0.250,21.963,1.260,0.400,55.930,2962.206,22.368,1.659
0.255,22.385,1.252,0.409,55.929,2960.794,22.799,1.660
0.260,22.835,1.243,0.417,55.931,2961.753,23.257,1.660
0.265,23.290,1.237,0.425,55.918,2957.860,23.720,1.662
0.270,23.706,1.229,0.432,55.932,2957.812,24.144,1.662
0.275,24.156,1.221,0.440,55.931,2959.154,24.602,1.661
0.280,24.605,1.213,0.448,55.935,2959.589,25.058,1.661
0.285,25.026,1.205,0.456,55.937,2960.395,25.487,1.660
0.290,25.474,1.196,0.464,55.940,2960.743,25.943,1.660
0.295,25.896,1.189,0.471,55.939,2961.612,26.372,1.660
0.300,26.345,1.180,0.479,55.942,2962.416,26.829,1.659
0.305,26.794,1.171,0.487,55.943,2963.090,27.287,1.659
0.310,27.216,1.164,0.495,55.943,2963.853,27.716,1.658
0.315,27.665,1.155,0.503,55.945,2965.228,28.173,1.658
0.320,28.120,1.145,0.511,55.934,2967.866,28.636,1.656
0.325,28.537,1.134,0.518,55.944,2974.432,29.060,1.652
0.330,28.985,1.126,0.525,55.946,2976.570,29.516,1.651
0.335,29.407,1.118,0.532,55.946,2977.840,29.945,1.651
0.340,29.857,1.109,0.542,55.945,2976.711,30.404,1.651
0.345,30.307,1.103,0.550,55.946,2972.412,30.862,1.654
0.350,30.728,1.095,0.558,55.947,2973.634,31.291,1.653
0.355,31.177,1.087,0.566,55.948,2974.874,31.748,1.652
0.360,31.627,1.078,0.573,55.949,2976.263,32.205,1.651
0.365,32.053,1.070,0.581,55.940,2976.939,32.640,1.651
0.370,32.497,1.062,0.589,55.951,2977.211,33.092,1.651
0.375,32.918,1.054,0.597,55.953,2977.590,33.520,1.651
0.380,33.368,1.045,0.605,55.952,2978.475,33.978,1.650
0.385,33.817,1.037,0.613,55.953,2979.274,34.435,1.650
0.390,34.238,1.029,0.620,55.954,2980.028,34.864,1.649
0.395,34.688,1.020,0.628,55.954,2981.209,35.321,1.649
0.400,35.141,1.012,0.637,55.949,2981.890,35.782,1.648
