OffloadRatio,Data_Transfer_ms,Compute_Resident_ms,Compute_Offloaded_ms,Comm_Bandwidth_GBs,GPU_Throughput_GBs,Total_Kernel_Time_ms,Total_Compute_Time_ms
0.005,0.488,0.512,0.017,3.220,1139.985,0.535,0.530
0.010,0.484,0.508,0.017,9.746,1150.310,0.531,0.525
0.015,0.476,0.500,0.021,16.513,1159.505,0.526,0.521
0.020,0.475,0.499,0.036,23.161,1127.687,0.541,0.536
0.025,0.467,0.490,0.046,30.317,1126.225,0.542,0.536
0.030,0.472,0.496,0.031,36.634,1145.752,0.533,0.527
0.035,0.457,0.480,0.032,44.746,1179.701,0.517,0.512
0.040,0.464,0.488,0.032,50.867,1161.742,0.525,0.520
0.045,0.452,0.475,0.034,59.181,1186.005,0.515,0.509
0.050,0.441,0.464,0.035,67.733,1210.203,0.505,0.499
0.055,0.460,0.484,0.035,71.820,1162.469,0.525,0.520
0.060,0.433,0.456,0.036,83.489,1226.400,0.498,0.492
0.065,0.462,0.486,0.037,81.716,1156.418,0.528,0.522
0.070,0.427,0.450,0.043,95.757,1225.960,0.498,0.493
0.075,0.450,0.473,0.045,97.941,1164.644,0.524,0.519
0.080,0.420,0.443,0.045,112.413,1237.985,0.493,0.488
0.085,0.393,0.295,0.049,127.947,1752.891,0.448,0.345
0.090,0.417,0.295,0.050,128.192,1753.637,0.472,0.344
0.095,0.442,0.294,0.055,128.106,1732.671,0.502,0.349
0.100,0.465,0.293,0.044,128.593,1788.901,0.514,0.338
0.105,0.487,0.292,0.055,129.269,1737.875,0.547,0.348
0.110,0.511,0.292,0.047,129.269,1782.892,0.563,0.339
0.115,0.536,0.291,0.048,129.182,1781.747,0.589,0.339
0.120,0.561,0.290,0.050,128.975,1779.351,0.616,0.339
0.125,0.582,0.289,0.050,129.685,1779.750,0.638,0.339
0.130,0.593,0.289,0.051,129.864,1777.712,0.650,0.340
0.135,0.619,0.288,0.054,129.638,1768.254,0.678,0.342
0.140,0.641,0.287,0.054,130.044,1772.875,0.700,0.341
0.145,0.663,0.286,0.057,130.409,1761.572,0.725,0.343
0.150,0.688,0.285,0.057,130.303,1762.820,0.750,0.343
0.155,0.714,0.284,0.059,129.929,1762.081,0.778,0.343
0.160,0.736,0.284,0.059,130.424,1760.238,0.800,0.343
0.165,0.760,0.283,0.062,130.450,1753.085,0.826,0.345
0.170,0.783,0.283,0.062,130.615,1750.950,0.850,0.345
0.175,0.807,0.281,0.064,130.576,1752.482,0.876,0.345
0.180,0.830,0.282,0.065,130.731,1744.984,0.900,0.346
0.185,0.852,0.279,0.068,131.045,1741.613,0.925,0.347
0.190,0.867,0.284,0.069,130.671,1714.946,0.940,0.352
0.195,0.890,0.278,0.069,130.820,1744.203,0.964,0.346
0.200,0.912,0.280,0.072,131.098,1719.782,0.989,0.351
0.205,0.936,0.276,0.072,131.080,1732.568,1.013,0.349
0.210,0.961,0.278,0.073,130.904,1720.705,1.039,0.351
0.215,0.983,0.275,0.077,131.147,1716.062,1.065,0.352
0.220,1.007,0.277,0.078,131.153,1704.528,1.090,0.354
0.225,1.030,0.274,0.079,131.343,1710.843,1.114,0.353
0.230,1.054,0.276,0.079,131.362,1700.919,1.138,0.355
0.235,1.078,0.274,0.081,131.350,1699.481,1.164,0.355
0.240,1.102,0.275,0.083,131.356,1689.031,1.190,0.358
0.245,1.124,0.271,0.083,131.492,1707.433,1.213,0.354
0.250,1.149,0.273,0.084,131.383,1690.281,1.238,0.357
