OffloadRatio,Data_Transfer_ms,Compute_Resident_ms,Compute_Offloaded_ms,Comm_Bandwidth_GBs,GPU_Throughput_GBs,Total_Kernel_Time_ms,Total_Compute_Time_ms
0.000,0,1.574,0,0,3122.061,1.574,1.574
0.005,1.553,1.581,0.013,15.188,3083.390,1.599,1.594
0.010,1.561,1.588,0.020,31.239,3056.155,1.614,1.608
0.015,1.568,1.595,0.027,46.135,3028.834,1.628,1.623
0.020,1.575,1.606,0.036,61.901,2993.794,1.647,1.642
0.025,1.583,1.613,0.044,77.523,2967.146,1.662,1.657
0.030,1.589,1.620,0.050,92.032,2942.939,1.676,1.670
0.035,1.597,1.627,0.060,107.373,2913.083,1.693,1.687
0.040,1.604,1.634,0.067,122.564,2889.492,1.707,1.701
0.045,1.668,1.638,0.073,132.023,2872.740,1.746,1.711
0.050,1.856,1.629,0.083,132.197,2870.101,1.944,1.713
0.055,2.033,1.621,0.089,132.311,2875.045,2.127,1.710
0.060,2.222,1.612,0.096,132.370,2877.780,2.323,1.708
0.065,2.411,1.603,0.106,132.427,2876.003,2.522,1.709
0.070,2.588,1.594,0.112,132.497,2881.039,2.705,1.706
0.075,2.776,1.582,0.119,132.576,2889.282,2.900,1.701
0.080,2.966,1.573,0.129,132.592,2887.195,3.100,1.702
0.085,3.142,1.565,0.143,132.655,2876.842,3.291,1.709
0.090,3.331,1.556,0.148,132.678,2884.568,3.484,1.704
0.095,3.508,1.548,0.149,132.723,2895.579,3.662,1.697
0.100,3.697,1.543,0.160,132.746,2886.073,3.862,1.703
0.105,3.885,1.534,0.167,132.778,2889.058,4.058,1.701
0.110,4.062,1.526,0.172,132.800,2894.902,4.240,1.698
0.115,4.251,1.517,0.185,132.825,2888.385,4.441,1.702
0.120,4.439,1.508,0.192,132.859,2891.167,4.636,1.700
0.125,4.617,1.500,0.199,132.849,2893.999,4.821,1.698
0.130,4.805,1.491,0.211,132.896,2888.462,5.021,1.702
0.135,4.981,1.483,0.216,132.948,2893.549,5.202,1.699
0.140,5.171,1.474,0.222,132.927,2897.927,5.398,1.696
0.145,5.360,1.465,0.229,132.942,2900.473,5.594,1.695
0.150,5.538,1.457,0.241,132.910,2894.719,5.785,1.698
0.155,5.726,1.448,0.247,132.943,2899.246,5.979,1.695
0.160,5.916,1.437,0.255,132.944,2906.250,6.175,1.691
0.165,6.091,1.428,0.261,132.980,2909.528,6.358,1.689
0.170,6.280,1.420,0.273,132.983,2904.096,6.558,1.693
0.175,6.458,1.412,0.278,132.989,2909.852,6.740,1.689
0.180,6.646,1.403,0.284,132.998,2913.690,6.936,1.687
0.185,6.835,1.397,0.291,133.015,2911.788,7.131,1.688
0.190,7.012,1.389,0.298,133.018,2912.435,7.315,1.688
0.195,7.200,1.381,0.315,133.030,2898.379,7.521,1.696
0.200,7.390,1.372,0.324,133.026,2899.161,7.719,1.695
0.205,7.567,1.364,0.331,133.028,2899.985,7.903,1.695
0.210,7.756,1.355,0.338,133.033,2901.857,8.100,1.694
0.215,7.933,1.347,0.346,133.039,2902.735,8.284,1.693
0.220,8.121,1.339,0.354,133.062,2903.662,8.480,1.693
0.225,8.310,1.330,0.362,133.058,2905.598,8.677,1.692
0.230,8.486,1.322,0.369,133.082,2907.318,8.860,1.691
0.235,8.676,1.312,0.377,133.062,2909.461,9.059,1.689
0.240,8.865,1.301,0.385,133.064,2916.534,9.255,1.685
0.245,9.040,1.293,0.392,133.106,2917.412,9.437,1.685
0.250,9.231,1.284,0.400,133.072,2920.056,9.636,1.683
0.255,9.406,1.275,0.409,133.106,2917.974,9.820,1.684
0.260,9.595,1.267,0.417,133.108,2919.077,10.017,1.684
0.265,9.783,1.261,0.425,133.127,2915.909,10.213,1.686
0.270,9.959,1.253,0.433,133.132,2916.133,10.397,1.686
0.275,10.149,1.244,0.440,133.122,2917.857,10.595,1.685
0.280,10.340,1.236,0.448,133.103,2919.044,10.793,1.684
0.285,10.515,1.228,0.455,133.128,2920.351,10.976,1.683
0.290,10.705,1.219,0.464,133.112,2920.143,11.175,1.683
0.295,10.881,1.211,0.471,133.131,2921.133,11.358,1.683
0.300,11.071,1.203,0.479,133.120,2922.409,11.555,1.682
0.305,11.259,1.194,0.487,133.131,2924.067,11.751,1.681
0.310,11.436,1.186,0.494,133.139,2925.137,11.935,1.680
0.315,11.625,1.177,0.502,133.135,2927.177,12.132,1.679
0.320,11.814,1.167,0.510,133.131,2929.892,12.330,1.678
0.325,11.990,1.156,0.518,133.154,2936.119,12.512,1.674
0.330,12.178,1.148,0.525,133.163,2938.176,12.708,1.673
0.335,12.358,1.140,0.532,133.132,2939.711,12.895,1.672
0.340,12.546,1.131,0.542,133.141,2938.354,13.093,1.673
0.345,12.732,1.125,0.550,133.172,2935.465,13.287,1.674
0.350,12.908,1.116,0.557,133.183,2937.508,13.470,1.673
0.355,13.097,1.108,0.565,133.180,2938.056,13.668,1.673
0.360,13.287,1.099,0.573,133.170,2939.640,13.866,1.672
0.365,13.466,1.091,0.581,133.156,2940.725,14.052,1.671
0.370,13.651,1.082,0.589,133.191,2942.196,14.245,1.671
0.375,13.828,1.074,0.596,133.192,2942.710,14.430,1.670
0.380,14.019,1.066,0.604,133.178,2943.976,14.628,1.670
0.385,14.207,1.057,0.612,133.186,2945.133,14.824,1.669
0.390,14.386,1.049,0.620,133.168,2945.838,15.011,1.669
0.395,14.574,1.040,0.628,133.180,2946.425,15.207,1.668
0.400,14.762,1.032,0.636,133.187,2947.755,15.403,1.667
