Offload Ratio (%),Total DRAM (%),DRAM Read (%),DRAM Write (%),Effective Memory BW (GB/s),Effective Tokens/s,SM Active (%),Tensor Active (%),Avg Step Time (ms),Total Memory IO (GB),Weights Loaded (GB),KV Cache Read (GB),KV Cache Written (GB)
0,86.23375781767261,85.24950196402781,0.9842558536447823,3429.26,34.29,91.63806796665725,0.9904132483553306,29.166,93.1489,16.0,77.1484,0.000488
1,86.03858295860718,84.47238902340597,1.566193935201199,3398.41,33.98,91.67674737691686,0.9888020292862907,29.4308,93.1489,16.0,77.1484,0.000488
2,85.9643458742452,83.8000274069066,2.164318467338602,3371.62,33.71,91.70780509001985,0.9882222368799549,29.6646,93.1489,16.0,77.1484,0.000488
3,85.84564994425864,83.09037792642141,2.7552720178372354,3342.12,33.42,91.7661984392419,0.989654403567447,29.9264,93.1489,16.0,77.1484,0.000488
4,85.56977028828712,82.25505212772933,3.314718160557778,3307.34,33.07,91.66437282801128,0.9897547701790046,30.2412,93.1489,16.0,77.1484,0.000488
5,85.61435936151854,81.7273209663503,3.8870383951682483,3287.75,32.87,91.88759167385678,0.989823123382226,30.4214,93.1489,16.0,77.1484,0.000488
6,85.24724607639918,80.81398113287364,4.43326494352553,3252.32,32.52,91.65648081560133,0.988958923812344,30.7528,93.1489,16.0,77.1484,0.000488
7,85.32566029856979,80.335006785677,4.990653512892786,3231.34,32.31,91.93107944461845,0.9896711556529908,30.9525,93.1489,16.0,77.1484,0.000488
8,85.03762540444842,79.51987736492426,5.517748039524153,3200.15,32.0,91.72763356516231,0.9907347981919115,31.2542,93.1489,16.0,77.1484,0.000488
9,84.89846895720314,78.86137030339562,6.037098653807514,3173.06,31.72,91.76568716094033,0.990492264416315,31.5209,93.1489,16.0,77.1484,0.000488
10,84.7289189881903,78.16982610752943,6.55909288066087,3146.79,31.46,91.70787247885491,0.9899449931980836,31.7841,93.1489,16.0,77.1484,0.000488
11,84.65210377725856,77.57348617601245,7.078617601246106,3122.22,31.22,91.76908975856698,0.9897098909657321,32.0342,93.1489,16.0,77.1484,0.000488
12,82.54433594857319,75.134892241308,7.409443707265204,3021.96,30.21,89.24338556091986,0.9607513988941209,33.0971,93.1489,16.0,77.1484,0.000488
13,78.59932571344606,71.04234292524838,7.556982788197688,2858.23,28.58,84.44239743531435,0.9097970339116472,34.9929,93.1489,16.0,77.1484,0.000488
14,74.17855525602018,66.58051483366916,7.598040422351008,2675.69,26.75,79.02206223431783,0.8524556057975696,37.3803,93.1489,16.0,77.1484,0.000488
15,70.67225866257512,62.993537271448666,7.678721391126454,2529.56,25.29,74.71548778928526,0.805106763840941,39.5397,93.1489,16.0,77.1484,0.000488
16,67.33054947999298,59.60193666768449,7.7286128123084925,2393.83,23.93,70.65044384360542,0.7613103484243563,41.7816,93.1489,16.0,77.1484,0.000488
17,64.39031244803809,56.60146061263655,7.788851835401528,2271.97,22.72,67.03453314160406,0.722073225964327,44.0226,93.1489,16.0,77.1484,0.000488
18,61.71055517618599,53.87800784916159,7.8325473270244075,2162.37,21.62,63.7952793315272,0.6871230216495354,46.2539,93.1489,16.0,77.1484,0.000488
19,59.78716405820918,51.854518156043056,7.932645902166129,2080.58,20.8,61.45078769341477,0.662578102759638,48.072,93.1489,16.0,77.1484,0.000488
20,58.083172566396115,50.04401910088308,8.03915346551304,2008.34,20.08,59.38675429208032,0.6392472832018307,49.8013,93.1489,16.0,77.1484,0.000488
21,56.18485832089978,48.04150098851115,8.143357332388627,1927.68,19.27,57.02384526466399,0.6147956859228535,51.8852,93.1489,16.0,77.1484,0.000488
22,54.069975859652104,45.91827975784389,8.151696101808207,1841.15,18.41,54.40549406205348,0.5865774060545725,54.3237,93.1489,16.0,77.1484,0.000488
23,52.32630994472795,44.147101497727405,8.179208447000553,1769.46,17.69,52.28530504872983,0.5642045192562799,56.5246,93.1489,16.0,77.1484,0.000488
24,50.936863901406305,42.70402866838255,8.232835233023764,1709.85,17.1,50.54095908992281,0.5442744583145022,58.4952,93.1489,16.0,77.1484,0.000488
25,49.28415511902096,41.042999095002244,8.241156024018725,1643.98,16.44,48.523648975498666,0.523161413647815,60.8388,93.1489,16.0,77.1484,0.000488
