Offload Ratio (%),Total DRAM (%),DRAM Read (%),DRAM Write (%),Effective Memory BW (GB/s),Effective Tokens/s,SM Active (%),Tensor Active (%),Avg Step Time (ms),Paged Attention Runtime (ms),Peak GPU Mem (Alloc GB),Total Memory IO (GB),Weights Loaded (GB),KV Cache Read (GB),KV Cache Written (GB)
0,85.36143395092253,84.3691411479175,0.9922928030050336,3410.19,35.59,89.38145626383415,1.252359593493094,28.0992,0.6509109999999999,89.29,89.2427,16.0,73.2422,0.000488
1,85.17654939599566,83.62917037743574,1.547379018559893,3371.77,35.19,89.48078945986065,1.250863697705803,28.4194,0.657842,88.66,89.2427,16.0,73.2422,0.000488
2,84.79416989763384,82.66963936997563,2.1245305276582176,3340.5,34.86,89.2719613712295,1.238789526810246,28.6854,0.6647179999999999,87.99,89.2427,16.0,73.2422,0.000488
3,84.74568432278704,82.05705794525419,2.6886263775328825,3314.07,34.59,89.4026619267686,1.2365154639175255,28.9141,0.670687,87.33,89.2427,16.0,73.2422,0.000488
4,84.40230863820048,81.16092839218177,3.2413802460186947,3273.0,34.16,89.24653550759115,1.2282382105384526,29.277,0.677329,86.66,89.2427,16.0,73.2422,0.000488
5,84.23221263808352,80.45964391716667,3.7725687209168615,3251.84,33.94,89.25302277122265,1.2220533890836471,29.4675,0.683768,86.0,89.2427,16.0,73.2422,0.000488
6,84.0832466446694,79.77509866145915,4.3081479832102545,3216.19,33.56,89.25848160235837,1.2160871645230558,29.7942,0.690106,85.34,89.2427,16.0,73.2422,0.000488
7,83.89522612209298,79.06704261064377,4.828183511449207,3192.78,33.32,89.22657811593133,1.209814571279134,30.0126,0.6962480000000001,84.67,89.2427,16.0,73.2422,0.000488
8,82.91742494060446,77.61593677259951,5.301488168004942,3168.69,33.07,88.35329696985548,1.1908124065332677,30.2407,0.700073,84.01,89.2427,16.0,73.2422,0.000488
9,77.98205970852469,72.45941419295002,5.522645515574652,3139.03,32.76,82.39547215932946,1.1145962411748136,30.5265,0.698812,83.35,89.2427,16.0,73.2422,0.000488
10,74.07323617214828,68.32911747807537,5.744118694072917,3047.3,31.8,77.70977363131931,1.0501972896182687,31.4454,0.698843,82.68,89.2427,16.0,73.2422,0.000488
11,70.06400671229461,64.15296512526777,5.911041587026853,2838.91,29.63,72.93515355942941,0.9866393187270455,33.7537,0.698277,82.02,89.2427,16.0,73.2422,0.000488
12,66.79353947177371,60.72587633668809,6.067663135085613,2643.06,27.58,69.0372499408517,0.9324725517162203,36.2548,0.697631,81.35,89.2427,16.0,73.2422,0.000488
13,63.33668209650821,57.165198196878,6.1714838996302195,2503.61,26.13,64.92118780192475,0.8767278649406205,38.2742,0.698532,80.69,89.2427,16.0,73.2422,0.000488
14,60.498424668612415,54.21110024750864,6.287324421103774,2370.0,24.73,61.494664509956344,0.8309654359471129,40.4318,0.697998,80.03,89.2427,16.0,73.2422,0.000488
15,58.22588907068375,51.7989791644935,6.426909906190242,2243.51,23.41,58.78863101736165,0.79445243974624,42.7115,0.699219,79.36,89.2427,16.0,73.2422,0.000488
