Offload Ratio (%),Total DRAM (%),DRAM Read (%),DRAM Write (%),Effective Memory BW (GB/s),Effective Tokens/s,SM Active (%),Tensor Active (%),Avg Step Time (ms),Total Memory IO (GB),Weights Loaded (GB),KV Cache Read (GB),KV Cache Written (GB)
0,76.71638465459033,74.74880819613091,1.9675764584594089,2989.28,7994.88,89.71672797965306,17.028364260134893,32.1456,89.4927,16.0,73.3672,0.125488
1,76.62445588065681,74.1346924679632,2.4897634126935975,2964.16,7927.7,89.56399456849424,16.902052843390365,32.418,89.4927,16.0,73.3672,0.125488
2,76.72345705179919,73.69211171228899,3.0313453395102075,2946.92,7881.59,89.5426573846309,16.801644799670196,32.6076,89.4927,16.0,73.3672,0.125488
3,76.69520253228093,73.13753254882558,3.5576699834553698,2924.71,7822.18,89.46668922911508,16.68741703104384,32.8553,89.4927,16.0,73.3672,0.125488
4,76.87795455903955,72.80090691691066,4.077047642128893,2911.15,7785.93,89.50767225275933,16.55816150806515,33.0082,89.4927,16.0,73.3672,0.125488
5,76.82141491556813,72.24232136840084,4.579093547167297,2888.34,7724.92,89.31262778911098,16.44966853205791,33.269,89.4927,16.0,73.3672,0.125488
6,76.83100658024173,71.75595899220079,5.07504758804094,2868.65,7672.27,89.33239652313878,16.317218458617806,33.4973,89.4927,16.0,73.3672,0.125488
7,76.89979287434947,71.32270952263382,5.5770833517156495,2850.62,7624.05,89.20575668116838,16.194381024116304,33.7091,89.4927,16.0,73.3672,0.125488
8,73.6876114535362,67.85297829217329,5.83463316136292,2710.33,7248.83,84.92082252760811,15.382530350445395,35.454,89.4927,16.0,73.3672,0.125488
9,70.58147930612448,64.52202095017067,6.059458355953826,2575.86,6889.2,80.85205190327066,14.659980205872305,37.3048,89.4927,16.0,73.3672,0.125488
10,66.68328067706426,60.547000053536024,6.136280623528248,2416.84,6463.88,75.8583242160395,13.760874918264571,39.7594,89.4927,16.0,73.3672,0.125488
11,64.22550243167007,57.87587102907655,6.3496314025935146,2308.48,6174.06,72.41856082477379,13.11740575017041,41.6257,89.4927,16.0,73.3672,0.125488
12,61.96352746058908,55.44246177905824,6.521065681530847,2211.27,5914.09,69.52781135299031,12.566335914406581,43.4556,89.4927,16.0,73.3672,0.125488
13,59.137941980675315,52.53906908491727,6.598872895758034,2094.27,5601.17,65.77160728826391,11.912077955376487,45.8833,89.4927,16.0,73.3672,0.125488
14,56.61517066745412,49.942075168047396,6.673095499406721,1990.14,5322.67,62.53227379047801,11.365232006183367,48.2841,89.4927,16.0,73.3672,0.125488
15,53.98860832306238,47.28774900917658,6.7008593138857995,1883.6,5037.71,59.15789641942827,10.765941304924523,51.0152,89.4927,16.0,73.3672,0.125488
16,52.45281698252671,45.61756856723237,6.835248415294348,1816.77,4859.0,57.053743567092035,10.357888160481924,52.8916,89.4927,16.0,73.3672,0.125488
17,51.081543075455265,44.13844664345013,6.943096432005128,1757.26,4699.83,55.283495773141055,10.02087431095901,54.6828,89.4927,16.0,73.3672,0.125488
18,48.910111557521816,41.95026403599793,6.959847521523878,1669.66,4465.53,52.38628225910575,9.486519426985408,57.5519,89.4927,16.0,73.3672,0.125488
19,47.86808285064502,40.79182089821447,7.07626195243055,1622.7,4339.93,51.03388592061824,9.258524961201575,59.2175,89.4927,16.0,73.3672,0.125488
20,46.27722048091261,39.175440140776075,7.101780340136535,1558.04,4167.01,48.983725959725106,8.895010809126232,61.6749,89.4927,16.0,73.3672,0.125488
21,45.27552639146184,38.07230113962721,7.203225251834628,1513.58,4048.1,47.64079428608696,8.641332080277358,63.4865,89.4927,16.0,73.3672,0.125488
22,43.82815359216173,36.58459676398405,7.2435568281776845,1453.96,3888.64,45.68181422857613,8.300645141020206,66.09,89.4927,16.0,73.3672,0.125488
23,42.70718547596185,35.40716746734942,7.300018008612439,1407.02,3763.09,44.182868567797634,8.017928246839823,68.2949,89.4927,16.0,73.3672,0.125488
24,41.78881126175615,34.41181082608888,7.377000435667267,1367.2,3656.59,42.95851474551362,7.790462718403071,70.284,89.4927,16.0,73.3672,0.125488
25,40.77144839070587,33.35632959067561,7.415118800030257,1324.56,3542.57,41.60947289700659,7.518320082416452,72.5462,89.4927,16.0,73.3672,0.125488
