OffloadRatio,PCIe_Transfer_ms,Compute_Resident_ms,Compute_Offloaded_ms,PCIe_Bandwidth_GBs,GPU_Throughput_GBs,Total_Kernel_Time_ms,Total_Compute_Time_ms
0.005,0.768,10.629,0.093,26.661,381.984,10.733,10.723
0.010,1.532,10.592,0.138,26.744,381.726,10.741,10.730
0.015,2.294,10.543,0.182,26.778,381.923,10.735,10.725
0.020,3.058,10.497,0.227,26.791,381.964,10.734,10.724
0.025,3.821,10.470,0.310,26.798,379.960,10.790,10.780
0.030,4.584,10.448,0.356,26.804,379.135,10.814,10.804
0.035,5.348,10.383,0.400,26.808,379.862,10.793,10.783
0.040,6.111,10.334,0.445,26.812,379.999,10.789,10.779
0.045,6.874,10.297,0.491,26.815,379.687,10.798,10.788
0.050,7.637,10.268,0.572,26.816,377.860,10.850,10.840
0.055,8.400,10.216,0.618,26.818,378.069,10.845,10.834
0.060,9.164,10.171,0.662,26.819,378.093,10.843,10.833
0.065,9.927,10.128,0.710,26.820,377.943,10.848,10.838
0.070,10.690,10.069,0.789,26.822,377.231,11.483,10.858
0.075,11.453,10.020,0.836,26.822,377.302,12.294,10.856
0.080,12.216,9.963,0.880,26.824,377.749,13.100,10.843
0.085,12.979,9.903,0.927,26.824,378.199,13.911,10.830
0.090,13.742,9.859,0.973,26.825,378.137,14.720,10.832
0.095,14.505,9.804,1.053,26.826,377.256,15.562,10.857
0.100,15.269,9.749,1.097,26.826,377.668,16.369,10.845
0.105,16.032,9.696,1.145,26.827,377.817,17.181,10.841
0.110,16.795,9.636,1.188,26.828,378.398,17.987,10.825
0.115,17.558,9.593,1.269,26.828,377.106,18.831,10.862
0.120,18.321,9.526,1.313,26.829,377.889,19.638,10.839
0.125,19.084,9.482,1.364,26.829,377.646,20.452,10.846
0.130,19.847,9.425,1.410,26.829,378.045,21.261,10.835
0.135,20.610,9.377,1.459,26.830,377.985,22.073,10.836
0.140,21.373,9.316,1.529,26.830,377.717,22.906,10.844
0.145,22.136,9.249,1.577,26.830,378.362,23.717,10.826
0.150,22.899,9.187,1.617,26.830,379.123,24.521,10.804
0.155,23.663,9.133,1.668,26.831,379.245,25.334,10.800
0.160,24.425,9.082,1.740,26.831,378.462,26.170,10.823
0.165,25.189,9.031,1.792,26.831,378.481,26.984,10.822
0.170,25.952,8.971,1.834,26.832,379.085,27.789,10.805
0.175,26.715,8.921,1.885,26.832,379.064,28.604,10.806
0.180,27.478,8.862,1.931,26.832,379.479,29.413,10.794
0.185,28.241,8.818,2.007,26.832,378.415,30.251,10.824
0.190,29.004,8.762,2.051,26.832,378.792,31.059,10.813
0.195,29.767,8.697,2.099,26.833,379.401,31.870,10.796
0.200,30.530,8.648,2.146,26.833,379.490,32.680,10.793
0.205,31.293,8.598,2.218,26.833,378.690,33.515,10.816
0.210,32.056,8.538,2.264,26.833,379.187,34.324,10.802
0.215,32.819,8.485,2.314,26.833,379.283,35.137,10.799
0.220,33.582,8.443,2.367,26.833,378.933,35.953,10.809
0.225,34.345,8.379,2.415,26.834,379.470,36.764,10.794
0.230,35.108,8.337,2.483,26.834,378.575,37.595,10.820
0.235,35.871,8.283,2.536,26.834,378.603,38.411,10.819
0.240,36.635,8.219,2.579,26.834,379.324,39.217,10.798
0.245,37.397,8.169,2.631,26.834,379.280,40.032,10.799
0.250,38.161,8.114,2.690,26.834,379.108,40.855,10.804
