OffloadRatio,PCIe_Transfer_ms,Compute_Resident_ms,Compute_Offloaded_ms,PCIe_Bandwidth_GBs,GPU_Throughput_GBs,Total_Kernel_Time_ms,Total_Compute_Time_ms
0.005,0.081,1.100,0.050,25.197,356.319,1.159,1.150
0.010,0.157,1.094,0.050,26.050,358.217,1.153,1.143
0.015,0.234,1.090,0.052,26.296,358.617,1.154,1.142
0.020,0.310,1.063,0.049,26.434,368.125,1.122,1.113
0.025,0.386,1.061,0.051,26.505,368.371,1.121,1.112
0.030,0.463,1.059,0.050,26.556,369.384,1.119,1.109
0.035,0.539,1.060,0.053,26.601,368.076,1.124,1.113
0.040,0.615,1.059,0.052,26.627,368.710,1.119,1.111
0.045,0.692,1.057,0.095,26.647,355.727,1.163,1.151
0.050,0.768,1.056,0.094,26.666,356.100,1.159,1.150
0.055,0.844,1.056,0.093,26.677,356.437,1.158,1.149
0.060,0.921,1.025,0.092,26.684,366.712,1.127,1.117
0.065,0.997,1.024,0.096,26.703,365.864,1.130,1.120
0.070,1.073,1.025,0.097,26.711,364.879,1.175,1.123
0.075,1.150,1.023,0.096,26.716,365.998,1.250,1.119
0.080,1.226,1.022,0.096,26.730,366.491,1.326,1.118
0.085,1.303,1.021,0.139,26.730,353.058,1.446,1.160
0.090,1.379,1.018,0.139,26.740,353.935,1.522,1.157
0.095,1.455,1.017,0.141,26.745,353.439,1.600,1.159
0.100,1.531,0.986,0.139,26.748,364.110,1.675,1.125
0.105,1.608,0.982,0.139,26.754,365.154,1.751,1.122
0.110,1.684,0.982,0.141,26.760,364.644,1.829,1.123
0.115,1.760,0.979,0.141,26.758,365.932,1.905,1.119
0.120,1.837,0.978,0.140,26.760,366.116,1.981,1.119
0.125,1.913,0.977,0.183,26.764,353.022,2.101,1.160
0.130,1.989,0.976,0.182,26.769,353.851,2.175,1.158
0.135,2.066,0.973,0.183,26.769,354.153,2.253,1.157
0.140,2.142,0.943,0.183,26.771,363.893,2.329,1.126
0.145,2.218,0.940,0.186,26.775,363.785,2.408,1.126
0.150,2.295,0.936,0.186,26.774,365.144,2.484,1.122
0.155,2.371,0.935,0.185,26.775,365.797,2.560,1.120
0.160,2.448,0.934,0.183,26.776,366.737,2.635,1.117
0.165,2.524,0.932,0.226,26.782,353.538,2.754,1.159
0.170,2.600,0.932,0.225,26.785,354.133,2.828,1.157
0.175,2.676,0.930,0.227,26.786,353.950,2.907,1.157
0.180,2.752,0.929,0.227,26.788,354.118,2.984,1.157
0.185,2.829,0.894,0.226,26.789,365.799,3.059,1.120
0.190,2.905,0.891,0.229,26.789,365.671,3.138,1.120
0.195,2.981,0.890,0.228,26.793,366.241,3.213,1.118
0.200,3.057,0.890,0.228,26.794,366.626,3.289,1.117
0.205,3.134,0.889,0.269,26.794,353.514,3.407,1.159
0.210,3.210,0.887,0.267,26.794,354.812,3.482,1.154
0.215,3.287,0.886,0.268,26.795,354.736,3.559,1.155
0.220,3.363,0.884,0.269,26.795,355.279,3.636,1.153
0.225,3.439,0.851,0.272,26.798,364.664,3.715,1.123
0.230,3.516,0.847,0.272,26.797,365.952,3.792,1.119
0.235,3.591,0.847,0.273,26.802,365.610,3.869,1.120
0.240,3.668,0.845,0.272,26.800,366.918,3.944,1.116
0.245,3.745,0.844,0.276,26.799,365.622,4.025,1.120
0.250,3.821,0.844,0.312,26.800,354.547,4.137,1.155
