OffloadRatio,PCIe_Transfer_ms,Compute_Resident_ms,Compute_Offloaded_ms,PCIe_Bandwidth_GBs,GPU_Throughput_GBs,Total_Kernel_Time_ms,Total_Compute_Time_ms
0.005,0.006,0.005,0.006,0.227,23.505,0.022,0.011
0.010,0.006,0.005,0.006,0.450,23.424,0.022,0.011
0.015,0.005,0.005,0.006,0.703,22.656,0.022,0.011
0.020,0.005,0.005,0.006,0.984,22.549,0.022,0.011
0.025,0.005,0.005,0.006,1.219,22.412,0.022,0.011
0.030,0.005,0.005,0.006,1.457,22.456,0.022,0.011
0.035,0.005,0.005,0.006,1.691,22.565,0.022,0.011
0.040,0.005,0.005,0.006,1.901,22.657,0.022,0.011
0.045,0.006,0.005,0.006,2.059,23.278,0.022,0.011
0.050,0.005,0.005,0.006,2.330,23.005,0.022,0.011
0.055,0.006,0.005,0.006,2.520,23.119,0.022,0.011
0.060,0.006,0.005,0.006,2.694,23.387,0.022,0.011
0.065,0.006,0.005,0.006,2.839,23.205,0.022,0.011
0.070,0.006,0.005,0.006,3.066,23.310,0.022,0.011
0.075,0.006,0.005,0.006,3.183,23.081,0.022,0.011
0.080,0.006,0.005,0.006,3.384,23.078,0.022,0.011
0.085,0.006,0.005,0.006,3.522,22.554,0.022,0.011
0.090,0.006,0.006,0.006,3.669,22.307,0.022,0.011
0.095,0.006,0.006,0.006,3.859,21.809,0.022,0.012
0.100,0.006,0.006,0.006,4.030,21.545,0.022,0.012
0.105,0.006,0.006,0.007,4.150,21.083,0.023,0.012
0.110,0.006,0.006,0.006,4.411,21.477,0.022,0.012
0.115,0.006,0.005,0.007,4.635,21.225,0.023,0.012
0.120,0.006,0.005,0.007,4.793,21.152,0.023,0.012
0.125,0.006,0.005,0.007,5.083,21.507,0.023,0.012
0.130,0.006,0.005,0.006,5.369,22.146,0.022,0.012
0.135,0.006,0.005,0.006,5.558,22.003,0.022,0.012
0.140,0.006,0.005,0.006,5.695,21.805,0.023,0.012
0.145,0.006,0.005,0.006,5.860,22.231,0.022,0.012
0.150,0.006,0.005,0.006,6.022,21.967,0.022,0.012
0.155,0.007,0.005,0.006,6.001,22.511,0.022,0.011
0.160,0.007,0.005,0.006,6.199,22.964,0.022,0.011
0.165,0.007,0.005,0.006,6.266,23.015,0.022,0.011
0.170,0.007,0.005,0.006,6.486,22.924,0.022,0.011
0.175,0.007,0.005,0.006,6.511,22.727,0.022,0.011
0.180,0.007,0.006,0.006,6.560,22.130,0.022,0.012
0.185,0.007,0.006,0.006,6.672,21.536,0.022,0.012
0.190,0.007,0.006,0.006,6.747,21.373,0.022,0.012
0.195,0.007,0.006,0.006,6.938,21.453,0.022,0.012
0.200,0.007,0.006,0.006,6.995,21.238,0.022,0.012
0.205,0.007,0.006,0.006,7.090,21.303,0.022,0.012
0.210,0.007,0.006,0.006,7.203,21.401,0.022,0.012
0.215,0.007,0.005,0.007,7.422,21.328,0.023,0.012
0.220,0.008,0.005,0.006,7.495,21.516,0.022,0.012
0.225,0.007,0.005,0.007,7.700,21.423,0.023,0.012
0.230,0.007,0.005,0.007,8.156,21.646,0.023,0.012
0.235,0.007,0.005,0.006,8.216,21.850,0.023,0.012
0.240,0.007,0.005,0.006,8.528,21.994,0.022,0.012
0.245,0.007,0.005,0.006,8.571,22.023,0.022,0.012
0.250,0.007,0.005,0.006,8.742,22.162,0.022,0.012
